DateTime,Hashrate [H/s]
2015-08-07 00:00:00,95297747680.0857
2015-08-08 00:00:00,104892236890.687
2015-08-09 00:00:00,109676945486.006
2015-08-10 00:00:00,120610799179.867
2015-08-11 00:00:00,134766886331.011
2015-08-12 00:00:00,142999727420.3
2015-08-13 00:00:00,156606018231.665
2015-08-14 00:00:00,196722874450.417
2015-08-15 00:00:00,227666580264.112
2015-08-16 00:00:00,231942202730.598
2015-08-17 00:00:00,258915864704.976
2015-08-18 00:00:00,270470331405.17
2015-08-19 00:00:00,284044135458.749
2015-08-20 00:00:00,221468069464.524
2015-08-21 00:00:00,277264309584.153
2015-08-22 00:00:00,312618144214.45
2015-08-23 00:00:00,317162749742.868
2015-08-24 00:00:00,333335492749.496
2015-08-25 00:00:00,325201816315.551
2015-08-26 00:00:00,343102359407.497
2015-08-27 00:00:00,341118418029.762
2015-08-28 00:00:00,355219519712.284
2015-08-29 00:00:00,351443303076.77
2015-08-30 00:00:00,340150290111.124
2015-08-31 00:00:00,359341490868.543
2015-09-01 00:00:00,363512354041.698
2015-09-02 00:00:00,355779356315.663
2015-09-03 00:00:00,339122685054.732
2015-09-04 00:00:00,349982135771.763
2015-09-05 00:00:00,374913124969.139
2015-09-06 00:00:00,388433114376.026
2015-09-07 00:00:00,379841573551.565
2015-09-08 00:00:00,370785471097.477
2015-09-09 00:00:00,386137579874.697
2015-09-10 00:00:00,392080890204.319
2015-09-11 00:00:00,421668550189.309
2015-09-12 00:00:00,424171784401.561
2015-09-13 00:00:00,432689994307.222
2015-09-14 00:00:00,399653850867.343
2015-09-15 00:00:00,387803268389.22
2015-09-16 00:00:00,383930083751.596
2015-09-17 00:00:00,362139920116.927
2015-09-18 00:00:00,346369552395.557
2015-09-19 00:00:00,357412908756.805
2015-09-20 00:00:00,408789286948.858
2015-09-21 00:00:00,410003700796.693
2015-09-22 00:00:00,410100833216.807
2015-09-23 00:00:00,438890619972.702
2015-09-24 00:00:00,436218902911.86
2015-09-25 00:00:00,443478115525.524
2015-09-26 00:00:00,440625930564.988
2015-09-27 00:00:00,426457256785.209
2015-09-28 00:00:00,391416619822.828
2015-09-29 00:00:00,347260201936.552
2015-09-30 00:00:00,332846785960.136
2015-10-01 00:00:00,365320370591.243
2015-10-02 00:00:00,378477872389.224
2015-10-03 00:00:00,390965346687.085
2015-10-04 00:00:00,371097040215.867
2015-10-05 00:00:00,385593881655.111
2015-10-06 00:00:00,368489379086.964
2015-10-07 00:00:00,366973205023.931
2015-10-08 00:00:00,375201688580.611
2015-10-09 00:00:00,364870086204.626
2015-10-10 00:00:00,360603795392.211
2015-10-11 00:00:00,381956474380.062
2015-10-12 00:00:00,386254502402.484
2015-10-13 00:00:00,397934772325.257
2015-10-14 00:00:00,394174872462.272
2015-10-15 00:00:00,372916030147.197
2015-10-16 00:00:00,347004215423.205
2015-10-17 00:00:00,373030407773.244
2015-10-18 00:00:00,362435658041.088
2015-10-19 00:00:00,360920293657.107
2015-10-20 00:00:00,359406256763.779
2015-10-21 00:00:00,359015928569.172
2015-10-22 00:00:00,341132964350.504
2015-10-23 00:00:00,380733704574.477
2015-10-24 00:00:00,400712364373.181
2015-10-25 00:00:00,415421916600.345
2015-10-26 00:00:00,399352419351.623
2015-10-27 00:00:00,423606935733.201
2015-10-28 00:00:00,425217897400.968
2015-10-29 00:00:00,457118050622.996
2015-10-30 00:00:00,485181790381.156
2015-10-31 00:00:00,512482245181.449
2015-11-01 00:00:00,520751967660.4
2015-11-02 00:00:00,494438532535.908
2015-11-03 00:00:00,480200507886.796
2015-11-04 00:00:00,508443346287.702
2015-11-05 00:00:00,489331291049.571
2015-11-06 00:00:00,491429618712.939
2015-11-07 00:00:00,478048414469.794
2015-11-08 00:00:00,498826132097.015
2015-11-09 00:00:00,496545107607.664
2015-11-10 00:00:00,505390345517.765
2015-11-11 00:00:00,509043487356.835
2015-11-12 00:00:00,517330958182.502
2015-11-13 00:00:00,528346135780.694
2015-11-14 00:00:00,534865998775.589
2015-11-15 00:00:00,550254722975.175
2015-11-16 00:00:00,541283940502.086
2015-11-17 00:00:00,535672271868.954
2015-11-18 00:00:00,550612437838.644
2015-11-19 00:00:00,552743812354.594
2015-11-20 00:00:00,472848994779.946
2015-11-21 00:00:00,480042302797.303
2015-11-22 00:00:00,480238901990.802
2015-11-23 00:00:00,487941982010.148
2015-11-24 00:00:00,486567873808.023
2015-11-25 00:00:00,470159496206.948
2015-11-26 00:00:00,470861416174.57
2015-11-27 00:00:00,492944670594.281
2015-11-28 00:00:00,498720992634.322
2015-11-29 00:00:00,500380846290.501
2015-11-30 00:00:00,503871991565.669
2015-12-01 00:00:00,514321990761.689
2015-12-02 00:00:00,481807290451.979
2015-12-03 00:00:00,504306948388.254
2015-12-04 00:00:00,493198143647.095
2015-12-05 00:00:00,511916968889.251
2015-12-06 00:00:00,487659801017.172
2015-12-07 00:00:00,483667889043.327
2015-12-08 00:00:00,469523295121.556
2015-12-09 00:00:00,494321277216.118
2015-12-10 00:00:00,504825004080.369
2015-12-11 00:00:00,514558594892.225
2015-12-12 00:00:00,517896070711.657
2015-12-13 00:00:00,556792870328.344
2015-12-14 00:00:00,541236871654.792
2015-12-15 00:00:00,559707647367.266
2015-12-16 00:00:00,534079108913.63
2015-12-17 00:00:00,553982448707.383
2015-12-18 00:00:00,552164106189.558
2015-12-19 00:00:00,548837540000.316
2015-12-20 00:00:00,533099835936.994
2015-12-21 00:00:00,531446645564.428
2015-12-22 00:00:00,564947516476.065
2015-12-23 00:00:00,553008752219.607
2015-12-24 00:00:00,539483402899.86
2015-12-25 00:00:00,539187075852.711
2015-12-26 00:00:00,529362229712.588
2015-12-27 00:00:00,545440760250.418
2015-12-28 00:00:00,545158448548.893
2015-12-29 00:00:00,542193003610.779
2015-12-30 00:00:00,534548572972.027
2015-12-31 00:00:00,542725192823.958
2016-01-01 00:00:00,526080043795.978
2016-01-02 00:00:00,528053698175.424
2016-01-03 00:00:00,544840649374.389
2016-01-04 00:00:00,541290799400.865
2016-01-05 00:00:00,548861090239.54
2016-01-06 00:00:00,552182610632.024
2016-01-07 00:00:00,526218703269.983
2016-01-08 00:00:00,550687942229.653
2016-01-09 00:00:00,551657034471.68
2016-01-10 00:00:00,537946675623.76
2016-01-11 00:00:00,561657576051.714
2016-01-12 00:00:00,541092686636.564
2016-01-13 00:00:00,530560897081.563
2016-01-14 00:00:00,553750991918.534
2016-01-15 00:00:00,567139411682.168
2016-01-16 00:00:00,574085617131.033
2016-01-17 00:00:00,568321719086.962
2016-01-18 00:00:00,591499464715.268
2016-01-19 00:00:00,584880064828.14
2016-01-20 00:00:00,588126075577
2016-01-21 00:00:00,584138167495.534
2016-01-22 00:00:00,610658435632.798
2016-01-23 00:00:00,608804210102.879
2016-01-24 00:00:00,650658976676.833
2016-01-25 00:00:00,624622219810.6
2016-01-26 00:00:00,673085445473.747
2016-01-27 00:00:00,663597075385.537
2016-01-28 00:00:00,652271801201.344
2016-01-29 00:00:00,670039338113.835
2016-01-30 00:00:00,668791594515.125
2016-01-31 00:00:00,646688845759.415
2016-02-01 00:00:00,679240541886.959
2016-02-02 00:00:00,648634013328.698
2016-02-03 00:00:00,696796696966.624
2016-02-04 00:00:00,694226017950.456
2016-02-05 00:00:00,698595552826.595
2016-02-06 00:00:00,674528669041.809
2016-02-07 00:00:00,693340554522.274
2016-02-08 00:00:00,723386657107.545
2016-02-09 00:00:00,699338436984.4
2016-02-10 00:00:00,718057329716.444
2016-02-11 00:00:00,747546711561.849
2016-02-12 00:00:00,720869052804.308
2016-02-13 00:00:00,765950669836.767
2016-02-14 00:00:00,775298804747.381
2016-02-15 00:00:00,794712612387.911
2016-02-16 00:00:00,789639709926.829
2016-02-17 00:00:00,770078994274.963
2016-02-18 00:00:00,750945258002.086
2016-02-19 00:00:00,794783219652.717
2016-02-20 00:00:00,800295691792.675
2016-02-21 00:00:00,808846880925.652
2016-02-22 00:00:00,844642383439.517
2016-02-23 00:00:00,849490910313.203
2016-02-24 00:00:00,846587713729.692
2016-02-25 00:00:00,855874001111.038
2016-02-26 00:00:00,881651031092.84
2016-02-27 00:00:00,896853524619.199
2016-02-28 00:00:00,915812758039.597
2016-02-29 00:00:00,885965041543.154
2016-03-01 00:00:00,900562920442.789
2016-03-02 00:00:00,939133918965.913
2016-03-03 00:00:00,957272847074.808
2016-03-04 00:00:00,982821086059.88
2016-03-05 00:00:00,1030054717986.05
2016-03-06 00:00:00,1036733655664.82
2016-03-07 00:00:00,1047340044430.87
2016-03-08 00:00:00,1060230669040.85
2016-03-09 00:00:00,1080955371408.63
2016-03-10 00:00:00,1124356306383.2
2016-03-11 00:00:00,1152216595864.64
2016-03-12 00:00:00,1215700099242.9
2016-03-13 00:00:00,1291076502128.97
2016-03-14 00:00:00,1246558725868.19
2016-03-15 00:00:00,1295479530865.04
2016-03-16 00:00:00,1322233879117.54
2016-03-17 00:00:00,1369126446532.87
2016-03-18 00:00:00,1354841058934.21
